model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
421,dt_d5_s120_l30_w0.9.pkl,5,120,30,0.9,0.8171534562934323,0.9370581186339125,0.8730078986296017,0.7591986382087207,0.9417688621781857,0.8406858302823794
422,dt_d5_s120_l30_w1.0.pkl,5,120,30,1.0,0.8190615682376942,0.9381665668064709,0.874577596559332,0.7618891008353614,0.9407130674896451,0.8419101613606629
423,dt_d5_s120_l40_w0.2.pkl,5,120,40,0.2,0.9230943610087844,0.4879568603954464,0.6384321411073003,0.8939042089985486,0.500203037440104,0.641462271520075
424,dt_d5_s120_l40_w0.3.pkl,5,120,40,0.3,0.8772212116972156,0.7512881965248652,0.8093854892847921,0.8263295553618134,0.7697555429221148,0.7970399024513308
425,dt_d5_s120_l40_w0.4.pkl,5,120,40,0.4,0.8704795337130746,0.7874475733972438,0.8268843588775638,0.8192581553237291,0.8036221879314546,0.8113648476897216
426,dt_d5_s120_l40_w0.5.pkl,5,120,40,0.5,0.8499195518741434,0.8545536249251049,0.8522302889068148,0.7993512861129969,0.8606351011126452,0.8288619475948377
427,dt_d5_s120_l40_w0.6.pkl,5,120,40,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
428,dt_d5_s120_l40_w0.7.pkl,5,120,40,0.7,0.8221310164703374,0.9241461953265429,0.8701588107528702,0.7677011957544001,0.9281247462031998,0.8403250119489687
429,dt_d5_s120_l40_w0.8.pkl,5,120,40,0.8,0.8168657067447148,0.9364589574595567,0.872583639231231,0.7607028125614633,0.9423373670104768,0.8418341435101212
430,dt_d5_s120_l40_w0.9.pkl,5,120,40,0.9,0.8171767596246831,0.9366686638705812,0.8728521377423543,0.7610050514990487,0.942093722082352,0.8419219044854115
431,dt_d5_s120_l40_w1.0.pkl,5,120,40,1.0,0.8193219007723525,0.9375074895146794,0.8744393992315753,0.7638989645848447,0.9407130674896451,0.8431358276313874
432,dt_d5_s120_l50_w0.2.pkl,5,120,50,0.2,0.923081283301213,0.487866986219293,0.6383520834149975,0.8939042089985486,0.500203037440104,0.641462271520075
433,dt_d5_s120_l50_w0.3.pkl,5,120,50,0.3,0.8772212116972156,0.7512881965248652,0.8093854892847921,0.8263295553618134,0.7697555429221148,0.7970399024513308
434,dt_d5_s120_l50_w0.4.pkl,5,120,50,0.4,0.870530536501309,0.7869982025164769,0.8266595339616407,0.8190854870775348,0.8030536830991635,0.8109903629280295
435,dt_d5_s120_l50_w0.5.pkl,5,120,50,0.5,0.8499195518741434,0.8545536249251049,0.8522302889068148,0.7993512861129969,0.8606351011126452,0.8288619475948377
436,dt_d5_s120_l50_w0.6.pkl,5,120,50,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
437,dt_d5_s120_l50_w0.7.pkl,5,120,50,0.7,0.8224338963152699,0.9234272019173158,0.8700094553973384,0.7678451404758704,0.9277998862990335,0.840278033172741
438,dt_d5_s120_l50_w0.8.pkl,5,120,50,0.8,0.8171851696800021,0.9356500898741762,0.8724144191957989,0.7608396195473925,0.9420125071063103,0.841788228463604
439,dt_d5_s120_l50_w0.9.pkl,5,120,50,0.9,0.8174468196446794,0.9359496704613541,0.8726937527060434,0.761310657298575,0.9416064322261025,0.841914167453344
440,dt_d5_s120_l50_w1.0.pkl,5,120,50,1.0,0.8193320235756385,0.9370281605751948,0.8742366012158479,0.7640886894549294,0.9403882075854788,0.8431208359121856
441,dt_d5_s120_l60_w0.2.pkl,5,120,60,0.2,0.9231031349386642,0.48693828639904135,0.6375617792421746,0.8938490620910281,0.499228457727605,0.6406461698801459
442,dt_d5_s120_l60_w0.3.pkl,5,120,60,0.3,0.8772298741807731,0.749850209706411,0.808553938591249,0.826869322152341,0.7687809632096159,0.7967678128024914
443,dt_d5_s120_l60_w0.4.pkl,5,120,60,0.4,0.870530536501309,0.7869982025164769,0.8266595339616407,0.8190854870775348,0.8030536830991635,0.8109903629280295
444,dt_d5_s120_l60_w0.5.pkl,5,120,60,0.5,0.8499195518741434,0.8545536249251049,0.8522302889068148,0.7993512861129969,0.8606351011126452,0.8288619475948377
445,dt_d5_s120_l60_w0.6.pkl,5,120,60,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
446,dt_d5_s120_l60_w0.7.pkl,5,120,60,0.7,0.8224338963152699,0.9234272019173158,0.8700094553973384,0.7678451404758704,0.9277998862990335,0.840278033172741
447,dt_d5_s120_l60_w0.8.pkl,5,120,60,0.8,0.8175553517620857,0.9347513481126423,0.8722342581592005,0.7612283816663379,0.940144562657354,0.8412790697674418
448,dt_d5_s120_l60_w0.9.pkl,5,120,60,0.9,0.8187963596191278,0.9325644098262432,0.8719852096697387,0.7624710934919062,0.937220823519857,0.8408627222384144
449,dt_d5_s120_l60_w1.0.pkl,5,120,60,1.0,0.819048616932104,0.9367285799880167,0.8739448823299234,0.7636687797147385,0.9392511979208966,0.842408129074553
450,dt_d6_s40_l20_w0.2.pkl,6,40,20,0.2,0.9089802258701037,0.6486219292989814,0.7570412070141086,0.8658174097664544,0.6623893445951433,0.7505636589518244
451,dt_d6_s40_l20_w0.3.pkl,6,40,20,0.3,0.8959922957256093,0.7246854403834632,0.8012852363443639,0.8490513392857143,0.7414115162836027,0.7915889876436158
452,dt_d6_s40_l20_w0.4.pkl,6,40,20,0.4,0.8942258371803327,0.7311863391252247,0.8045291228532815,0.8438988640527666,0.748152359295054,0.7931464979120927
453,dt_d6_s40_l20_w0.5.pkl,6,40,20,0.5,0.8606079120207729,0.8439784301977232,0.8522120547530817,0.8059952588514185,0.856005847478275,0.8302481291847184
